tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 300.000,Arraial D&x27;Ajuda,Porto Seguro,BA,355m²,LUCAS VALENTIM MONTEIRO FRAGA,17/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-d-condominio-venda-possui-355-m-arraial-d-ajuda-porto-seguro-ba-1234757364,02/Oct/2023,21:16:14
Terrenos,,R$ 125.000,Arraial D&x27;Ajuda,Porto Seguro,BA,360m²,Zucotti Imoveis,27/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-no-loteamento-villas-do-arraial-360m2-1238109501,02/Oct/2023,21:16:14
Terrenos,,R$ 2.100.000,Arraial D&x27;Ajuda,Porto Seguro,BA,14000m²,Daniel,02/10/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/oportunidade--lote-de-14-mil-metros-a-beira-da-estrada-trancoso-caraiva-1239790427,02/Oct/2023,21:16:14
Terrenos,,R$ 2.720.000,Arraial D&x27;Ajuda,Porto Seguro,BA,1511m²,SO MANSOES TRANCOSO,16/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-lote-plano-com-vista-mar-com-1-511-m-venda-em-arraial-dajuda-1234345909,02/Oct/2023,21:16:14
Terrenos,,R$ 996.000,Arraial D&x27;Ajuda,Porto Seguro,BA,1107m²,SO MANSOES TRANCOSO,15/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-lote-plano-com-1-107-m-venda-em-arraial-dajuda-1234267797,02/Oct/2023,21:16:14
Terrenos,,R$ 120.000,Arraial D&x27;Ajuda,Porto Seguro,BA,360m²,Zucotti Imoveis,27/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-360m2-villas-2-arraial-d-ajuda-porto-seguro-ba-1238188065,02/Oct/2023,21:16:14
Terrenos,,R$ 158.000,Arraial D&x27;Ajuda,Porto Seguro,BA,600m²,Sidnei,30/08/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-em-condomio158-mil-cada-com-a-entrada-pela-br-1104613776,02/Oct/2023,21:16:14
Terrenos,,R$ 460.000,Arraial D&x27;Ajuda,Porto Seguro,BA,210m²,RE/MAX UNIQUE,03/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/preco-de-lancamento-lotes-com-financiamento-proprio-em-arraial-d-ajuda-porto-seguro-bah-1229620958,02/Oct/2023,21:16:14
Terrenos,,R$ 900.000,Arraial D&x27;Ajuda,Porto Seguro,BA,1000m²,SO MANSOES TRANCOSO,15/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-lote-plano-com-1-000-m-venda-em-arraial-dajuda-1234272507,02/Oct/2023,21:16:14
Terrenos,,null,Arraial D&x27;Ajuda,Porto Seguro,BA,880m²,Elisa Souza,28/08/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vende-se-terrenos-1227158055,02/Oct/2023,21:16:14
